Salón,Entidad,Distrito,ZORE,ARE,Responsable,Codigo,ID_survey,LINK,,,,
0102-04042,1,2,4,42,David,29359,126255,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126255&ou=29359,,,,
0102-04043,1,2,4,43,David,29360,125276,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125276&ou=29360,,,,
0102-05020,1,2,5,20,David,29361,126368,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126368&ou=29361,,,,
0102-05021,1,2,5,21,David,29362,118013,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118013&ou=29362,,,,
0102-05141,1,2,5,141,David,29366,118978,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118978&ou=29366,,,,
0102-06025,1,2,6,25,David,29367,126062,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126062&ou=29367,,,,
0102-06026,1,2,6,26,David,29368,120015,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120015&ou=29368,,,,
0102-06027,1,2,6,27,David,29369,118132,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118132&ou=29369,,,,
0102-06028,1,2,6,28,David,29370,125924,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125924&ou=29370,,,,
0102-06029,1,2,6,29,David,29371,119188,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119188&ou=29371,,,,
0102-06112,1,2,6,112,David,29372,124328,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124328&ou=29372,,,,
0102-07044,1,2,7,44,David,29373,123416,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123416&ou=29373,,,,
0102-07046,1,2,7,46,David,29375,127196,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127196&ou=29375,,,,
0102-07051,1,2,7,51,David,29378,123056,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123056&ou=29378,,,,
0102-08057,1,2,8,57,David,29381,123734,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123734&ou=29381,,,,
0102-09050,1,2,9,50,David,29385,126620,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126620&ou=29385,,,,
0102-09052,1,2,9,52,David,29386,123753,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123753&ou=29386,,,,
0102-09053,1,2,9,53,David,29387,125342,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125342&ou=29387,,,,
0102-09054,1,2,9,54,David,29388,124790,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124790&ou=29388,,,,
0102-10063,1,2,10,63,David,29393,125397,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125397&ou=29393,,,,
0102-11068,1,2,11,68,David,29396,124970,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124970&ou=29396,,,,
0102-11069,1,2,11,69,David,29397,127088,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127088&ou=29397,,,,
0102-11070,1,2,11,70,David,29398,117551,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117551&ou=29398,,,,
0102-11071,1,2,11,71,David,29399,119842,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119842&ou=29399,,,,
0102-11072,1,2,11,72,David,29400,123903,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123903&ou=29400,,,,
0102-11073,1,2,11,73,David,29401,126956,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126956&ou=29401,,,,
0102-12031,1,2,12,31,David,29402,127551,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127551&ou=29402,,,,
0102-12032,1,2,12,32,David,29403,119560,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119560&ou=29403,,,,
0102-12034,1,2,12,34,David,29404,123980,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123980&ou=29404,,,,
0102-12035,1,2,12,35,David,29405,124077,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124077&ou=29405,,,,
0102-12036,1,2,12,36,David,29406,117388,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117388&ou=29406,,,,
0102-12074,1,2,12,74,David,29407,123872,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123872&ou=29407,,,,
0102-13075,1,2,13,75,David,29409,117616,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117616&ou=29409,,,,
0102-13076,1,2,13,76,David,29410,117437,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117437&ou=29410,,,,
0102-13077,1,2,13,77,David,29411,117467,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117467&ou=29411,,,,
0102-13078,1,2,13,78,David,29412,117730,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117730&ou=29412,,,,
0102-13080,1,2,13,80,David,29413,117406,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117406&ou=29413,,,,
0102-14016,1,2,14,16,David,29414,117628,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117628&ou=29414,,,,
0102-14033,1,2,14,33,David,29415,117796,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117796&ou=29415,,,,
0102-14079,1,2,14,79,David,29416,117352,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117352&ou=29416,,,,
0102-14138,1,2,14,138,David,29417,117934,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117934&ou=29417,,,,
0102-14139,1,2,14,139,David,29418,118042,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118042&ou=29418,,,,
0102-14140,1,2,14,140,David,29419,118000,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118000&ou=29419,,,,
0102-15081,1,2,15,81,David,29420,117814,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117814&ou=29420,,,,
0102-15082,1,2,15,82,David,29421,117903,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117903&ou=29421,,,,
0102-15083,1,2,15,83,David,29422,117953,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117953&ou=29422,,,,
0102-15084,1,2,15,84,David,29423,118198,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118198&ou=29423,,,,
0102-15085,1,2,15,85,David,29424,118234,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118234&ou=29424,,,,
0102-15086,1,2,15,86,David,29425,117844,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117844&ou=29425,,,,
0102-16096,1,2,16,96,David,29426,118336,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118336&ou=29426,,,,
0102-16099,1,2,16,99,David,29427,118570,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118570&ou=29427,,,,
0102-16100,1,2,16,100,David,29428,118366,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118366&ou=29428,,,,
0102-16101,1,2,16,101,David,29429,118090,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118090&ou=29429,,,,
0102-16102,1,2,16,102,David,29430,118432,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118432&ou=29430,,,,
0102-17097,1,2,17,97,David,29432,118606,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118606&ou=29432,,,,
0102-17098,1,2,17,98,David,29433,118174,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118174&ou=29433,,,,
0102-17107,1,2,17,107,David,29434,117268,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117268&ou=29434,,,,
0102-17108,1,2,17,108,David,29435,118468,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118468&ou=29435,,,,
0102-18106,1,2,18,106,David,29439,119092,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119092&ou=29439,,,,
0102-18118,1,2,18,118,David,29442,119014,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119014&ou=29442,,,,
0102-19110,1,2,19,110,David,29443,119224,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119224&ou=29443,,,,
0102-20120,1,2,20,120,David,29449,119344,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119344&ou=29449,,,,
0102-20121,1,2,20,121,David,29450,119326,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119326&ou=29450,,,,
0102-20122,1,2,20,122,David,29451,118816,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118816&ou=29451,,,,
0102-20123,1,2,20,123,David,29452,119404,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119404&ou=29452,,,,
0102-20124,1,2,20,124,David,29453,118738,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118738&ou=29453,,,,
0102-20125,1,2,20,125,David,29454,119500,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119500&ou=29454,,,,
0102-21030,1,2,21,30,David,29455,119291,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119291&ou=29455,,,,
0102-21126,1,2,21,126,David,29456,119452,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119452&ou=29456,,,,
0102-21127,1,2,21,127,David,29457,119704,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119704&ou=29457,,,,
0102-21128,1,2,21,128,David,29458,119608,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119608&ou=29458,,,,
0102-21130,1,2,21,130,David,29460,119380,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119380&ou=29460,,,,
0102-22132,1,2,22,132,David,29462,119638,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119638&ou=29462,,,,
0102-22133,1,2,22,133,David,29463,119907,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119907&ou=29463,,,,
0102-22135,1,2,22,135,David,29464,119781,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119781&ou=29464,,,,
0102-22136,1,2,22,136,David,29465,117676,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117676&ou=29465,,,,
0102-22137,1,2,22,137,David,29466,118300,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118300&ou=29466,,,,
0102-23088,1,2,23,88,David,29468,119745,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119745&ou=29468,,,,
0102-23089,1,2,23,89,David,29469,119829,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119829&ou=29469,,,,
0102-23091,1,2,23,91,David,29471,120561,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120561&ou=29471,,,,
0102-24092,1,2,24,92,David,29472,120117,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120117&ou=29472,,,,
0102-24093,1,2,24,93,David,29473,120430,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120430&ou=29473,,,,
